season,wteam,lteam,School,OverallG,OverallW,OverallL,OverallW.L_percent,OverallSRS,OverallSOS,Conf.W,Conf.L,PointsTm.,PointsOpp.,School.TotalsFG,School.TotalsFGA,School.TotalsFG_percent,School.Totals3P,School.Totals3PA,School.Totals3P_percent,School.TotalsFT,School.TotalsFTA,School.TotalsFT_percent,School.TotalsTRB,School.TotalsAST,School.TotalsSTL,School.TotalsBLK,SchoolAdvancedFTr,SchoolAdvanced3PAr,SchoolAdvancedTS_percent,SchoolAdvancedTRB_percent,SchoolAdvancedAST_percent,SchoolAdvancedBLK_percent,SchoolAdvancedeFG_percent,SchoolAdvancedFT.FGA,season.2,seed,School.1,OverallG.1,OverallW.1,OverallL.1,OverallW.L_percent.1,OverallSRS.1,OverallSOS.1,Conf.W.1,Conf.L.1,PointsTm..1,PointsOpp..1,School.TotalsFG.1,School.TotalsFGA.1,School.TotalsFG_percent.1,School.Totals3P.1,School.Totals3PA.1,School.Totals3P_percent.1,School.TotalsFT.1,School.TotalsFTA.1,School.TotalsFT_percent.1,School.TotalsTRB.1,School.TotalsAST.1,School.TotalsSTL.1,School.TotalsBLK.1,SchoolAdvancedFTr.1,SchoolAdvanced3PAr.1,SchoolAdvancedTS_percent.1,SchoolAdvancedTRB_percent.1,SchoolAdvancedAST_percent.1,SchoolAdvancedBLK_percent.1,SchoolAdvancedeFG_percent.1,SchoolAdvancedFT.FGA.1,season.1,seed.1,variable
1996,Massachusetts,Central Florida,Massachusetts,37,35,2,0.946,21.38,8.92,15,1,2768,2307,992,2187,0.454,160,457,0.35,624,918,0.68,1482,558,311,232,0.42,0.209,0.528,53.8,56.3,15,0.49,0.285,1996,1,Central Florida,30,11,19,0.367,-10,-3.83,6,10,2243,2395,797,1757,0.454,201,561,0.358,448,629,0.712,1110,445,175,103,0.358,0.319,0.546,49.1,55.8,7.9,0.511,0.255,1996,16,wteam
1996,Stanford,Bradley,Stanford,29,20,9,0.69,14.85,6.33,12,6,2181,1934,735,1650,0.445,153,445,0.344,558,736,0.758,1073,466,181,52,0.446,0.27,0.545,52.7,63.4,4.2,0.492,0.338,1996,9,Bradley,30,22,8,0.733,9.71,3.55,15,3,2136,1951,739,1656,0.446,156,407,0.383,502,718,0.699,1073,447,217,97,0.434,0.246,0.535,49.7,60.5,7.8,0.493,0.303,1996,8,wteam
1996,Arkansas,Penn State,Arkansas,33,20,13,0.606,11.67,8.09,9,7,2560,2442,947,2143,0.442,190,586,0.324,476,763,0.624,1314,501,300,147,0.356,0.273,0.511,49.1,52.9,10.7,0.486,0.222,1996,12,Penn State,28,21,7,0.75,17.08,6.33,12,6,2095,1794,728,1555,0.468,197,482,0.409,442,642,0.688,1077,473,206,143,0.413,0.31,0.563,54.3,65,11.7,0.532,0.284,1996,5,wteam
1996,Marquette,Monmouth,Marquette,31,23,8,0.742,14.45,4.93,10,4,2259,1964,792,1820,0.435,215,599,0.359,460,644,0.714,1223,461,166,166,0.354,0.329,0.531,53.4,58.2,13.2,0.494,0.253,1996,4,Monmouth,30,20,10,0.667,-1.89,-5.56,14,4,2065,1955,734,1573,0.467,127,353,0.36,470,677,0.694,991,459,235,102,0.43,0.224,0.545,49.2,62.5,9.9,0.507,0.299,1996,13,wteam
1996,North Carolina,New Orleans,North Carolina,32,21,11,0.656,18.02,11.42,10,6,2484,2273,919,1869,0.492,235,593,0.396,411,613,0.67,1243,559,172,110,0.328,0.317,0.575,54.4,60.8,9.6,0.555,0.22,1996,6,New Orleans,30,21,9,0.7,5.97,1.47,14,4,2178,2043,780,1715,0.455,189,526,0.359,429,649,0.661,1139,449,208,80,0.378,0.307,0.538,52.6,57.6,6.3,0.51,0.25,1996,11,wteam
1996,Texas Tech,Northern Illinois,Texas Tech,32,30,2,0.938,14.86,2.11,14,0,2629,2221,908,1983,0.458,251,714,0.352,562,850,0.661,1358,560,170,123,0.429,0.36,0.551,53.9,61.7,8.2,0.521,0.283,1996,3,Northern Illinois,30,20,10,0.667,4.37,-3.6,10,6,2249,1979,812,1797,0.452,197,565,0.349,428,651,0.657,1215,464,198,108,0.362,0.314,0.534,54.5,57.1,8.8,0.507,0.238,1996,14,wteam
1996,New Mexico,Kansas State,New Mexico,33,28,5,0.848,11.55,3.42,14,4,2567,2293,889,1802,0.493,220,578,0.381,569,814,0.699,1204,515,228,137,0.452,0.321,0.586,51.7,57.9,9.5,0.554,0.316,1996,7,Kansas State,29,17,12,0.586,7.75,7.72,7,7,1970,1963,683,1626,0.42,128,382,0.335,476,735,0.648,1106,373,197,121,0.452,0.235,0.499,51.2,54.6,10.3,0.459,0.293,1996,10,wteam
1996,Georgetown,Mississippi Valley State,Georgetown,37,29,8,0.784,22.63,9.83,13,5,3082,2545,1121,2356,0.476,188,568,0.331,652,1027,0.635,1606,521,431,185,0.436,0.241,0.542,54.7,46.5,11.3,0.516,0.277,1996,2,Mississippi Valley State,29,22,7,0.759,-5.56,-11.92,11,3,2486,2218,925,2000,0.463,166,525,0.316,470,759,0.619,1402,401,241,109,0.38,0.263,0.527,56.8,43.4,7.8,0.504,0.235,1996,15,wteam
1996,Massachusetts,Stanford,Massachusetts,37,35,2,0.946,21.38,8.92,15,1,2768,2307,992,2187,0.454,160,457,0.35,624,918,0.68,1482,558,311,232,0.42,0.209,0.528,53.8,56.3,15,0.49,0.285,1996,1,Stanford,29,20,9,0.69,14.85,6.33,12,6,2181,1934,735,1650,0.445,153,445,0.344,558,736,0.758,1073,466,181,52,0.446,0.27,0.545,52.7,63.4,4.2,0.492,0.338,1996,9,wteam
1996,Arkansas,Marquette,Arkansas,33,20,13,0.606,11.67,8.09,9,7,2560,2442,947,2143,0.442,190,586,0.324,476,763,0.624,1314,501,300,147,0.356,0.273,0.511,49.1,52.9,10.7,0.486,0.222,1996,12,Marquette,31,23,8,0.742,14.45,4.93,10,4,2259,1964,792,1820,0.435,215,599,0.359,460,644,0.714,1223,461,166,166,0.354,0.329,0.531,53.4,58.2,13.2,0.494,0.253,1996,4,wteam
1996,Texas Tech,North Carolina,Texas Tech,32,30,2,0.938,14.86,2.11,14,0,2629,2221,908,1983,0.458,251,714,0.352,562,850,0.661,1358,560,170,123,0.429,0.36,0.551,53.9,61.7,8.2,0.521,0.283,1996,3,North Carolina,32,21,11,0.656,18.02,11.42,10,6,2484,2273,919,1869,0.492,235,593,0.396,411,613,0.67,1243,559,172,110,0.328,0.317,0.575,54.4,60.8,9.6,0.555,0.22,1996,6,wteam
