School,OverallG,OverallW,OverallL,OverallW-L_percent,OverallSRS,OverallSOS,Conf.W,Conf.L,PointsTm.,PointsOpp.,School TotalsFG,School TotalsFGA,School TotalsFG_percent,School Totals3P,School Totals3PA,School Totals3P_percent,School TotalsFT,School TotalsFTA,School TotalsFT_percent,School TotalsTRB,School TotalsAST,School TotalsSTL,School TotalsBLK,SchoolAdvancedFTr,SchoolAdvanced3PAr,SchoolAdvancedTS_percent,SchoolAdvancedTRB_percent,SchoolAdvancedAST_percent,SchoolAdvancedBLK_percent,SchoolAdvancedeFG_percent,SchoolAdvancedFT/FGA,season,seed
Abilene Christian,27,23,4,0.852,6.1,-8.46,13,2,2096,1634,749,1628,0.46,214,606,0.353,384,571,0.673,980,491,268,84,0.351,0.372,0.552,51.8,65.6,9.2,0.526,0.236,2021,14
Air Force,25,5,20,0.2,-13.04,0.17,3,17,1468,1798,522,1170,0.446,174,527,0.33,250,361,0.693,580,308,177,62,0.309,0.45,0.547,40.1,59,8,0.521,0.214,2021,NA
Akron,23,15,8,0.652,2.79,-1.02,12,6,1798,1660,628,1415,0.444,217,652,0.333,325,429,0.758,895,305,113,84,0.303,0.461,0.555,51.7,48.6,8.9,0.52,0.23,2021,NA
Alabama A&M,15,6,9,0.4,-19.25,-15.39,4,9,950,1008,347,868,0.4,83,286,0.29,173,276,0.627,577,165,82,54,0.318,0.329,0.475,49.8,47.6,9.1,0.448,0.199,2021,NA
Alabama-Birmingham,29,22,7,0.759,5.84,-3.79,13,5,2105,1748,788,1746,0.451,147,475,0.309,382,549,0.696,1063,308,231,121,0.314,0.272,0.524,51.7,39.1,12.1,0.493,0.219,2021,NA
Alabama State,18,4,14,0.222,-24.74,-17.41,4,14,1156,1288,383,1009,0.38,111,350,0.317,279,431,0.647,653,175,110,43,0.427,0.347,0.476,49.1,45.7,6.1,0.435,0.277,2021,NA
Alabama,30,24,6,0.8,20.16,10.36,16,2,2387,2093,834,1937,0.431,320,912,0.351,399,554,0.72,1215,426,259,131,0.286,0.471,0.542,51,51.1,10.6,0.513,0.206,2021,2
Albany (NY),16,7,9,0.438,-3.72,-4.41,6,6,1110,1099,395,883,0.447,102,303,0.337,218,301,0.724,480,187,98,29,0.341,0.343,0.541,47.9,47.3,5.1,0.505,0.247,2021,NA
Alcorn State,19,6,13,0.316,-19.97,-10.45,6,7,1256,1437,435,1107,0.393,113,376,0.301,273,376,0.726,608,177,144,30,0.34,0.34,0.488,47.8,40.7,5,0.444,0.247,2021,NA
American,10,4,6,0.4,-2.46,2.04,4,5,691,736,248,557,0.445,90,238,0.378,105,149,0.705,326,128,73,47,0.268,0.427,0.55,48.2,51.6,11.4,0.526,0.189,2021,NA
