"","team1","team2","winner","season","team1_seed","team2_seed"
"1","UMass","UCF","UMass",1996,1,16
"2","Bradley","Stanford","Stanford",1996,8,9
"3","Penn State","Arkansas","Arkansas",1996,5,12
"4","Marquette","Monmouth","Marquette",1996,4,13
"5","UNC","New Orleans","UNC",1996,6,11
"6","Texas Tech","Northern Illinois","Texas Tech",1996,3,14
"7","New Mexico","Kansas State","New Mexico",1996,7,10
"8","Georgetown","Mississippi Valley State","Georgetown",1996,2,15
"9","UMass","Stanford","UMass",1996,1,9
"10","Arkansas","Marquette","Arkansas",1996,12,4
"11","UNC","Texas Tech","Texas Tech",1996,6,3
"12","New Mexico","Georgetown","Georgetown",1996,7,2
"13","UMass","Arkansas","UMass",1996,1,12
"14","Texas Tech","Georgetown","Georgetown",1996,3,2
"15","UMass","Georgetown","UMass",1996,1,2
"16","Kentucky","San Jose State","Kentucky",1996,1,16
"17","Green Bay","Virginia Tech","Virginia Tech",1996,8,9
"18","Iowa State","California","Iowa State",1996,5,12
"19","Utah","Canisius","Utah",1996,4,13
"20","Louisville","Tulsa","Louisville",1996,6,11
"21","Villanova","Portland","Villanova",1996,3,14
"22","Michigan","Texas","Texas",1996,7,10
"23","Wake Forest","Louisiana-Monroe","Wake Forest",1996,2,15
"24","Kentucky","Virginia Tech","Kentucky",1996,1,9
"25","Iowa State","Utah","Utah",1996,5,4
"26","Louisville","Villanova","Louisville",1996,6,3
"27","Texas","Wake Forest","Wake Forest",1996,10,2
"28","Kentucky","Utah","Kentucky",1996,1,4
"29","Louisville","Wake Forest","Wake Forest",1996,6,2
"30","Kentucky","Wake Forest","Kentucky",1996,1,2
"31","UConn","Colgate","UConn",1996,1,16
"32","Duke","Eastern Michigan","Eastern Michigan",1996,8,9
"33","Mississippi State","VCU","Mississippi State",1996,5,12
"34","UCLA","Princeton","Princeton",1996,4,13
"35","Indiana","Boston College","Boston College",1996,6,11
"36","Georgia Tech","Austin Peay","Georgia Tech",1996,3,14
"37","Temple","Oklahoma","Temple",1996,7,10
"38","Cincinnati","UNC Greensboro","Cincinnati",1996,2,15
"39","UConn","Eastern Michigan","UConn",1996,1,9
"40","Mississippi State","Princeton","Mississippi State",1996,5,13
"41","Boston College","Georgia Tech","Georgia Tech",1996,11,3
"42","Temple","Cincinnati","Cincinnati",1996,7,2
"43","UConn","Mississippi State","Mississippi State",1996,1,5
"44","Georgia Tech","Cincinnati","Cincinnati",1996,3,2
"45","Mississippi State","Cincinnati","Mississippi State",1996,5,2
"46","Purdue","Western Carolina","Purdue",1996,1,16
"47","Georgia","Clemson","Georgia",1996,8,9
"48","Memphis","Drexel","Drexel",1996,5,12
"49","Syracuse","Montana State","Syracuse",1996,4,13
"50","Iowa","George Washington","Iowa",1996,6,11
"51","Arizona","Valparaiso","Arizona",1996,3,14
"52","Maryland","Santa Clara","Santa Clara",1996,7,10
"53","Kansas","South Carolina State","Kansas",1996,2,15
"54","Purdue","Georgia","Georgia",1996,1,8
"55","Drexel","Syracuse","Syracuse",1996,12,4
"56","Iowa","Arizona","Arizona",1996,6,3
"57","Santa Clara","Kansas","Kansas",1996,10,2
"58","Georgia","Syracuse","Syracuse",1996,8,4
"59","Arizona","Kansas","Kansas",1996,3,2
"60","Syracuse","Kansas","Syracuse",1996,4,2
"61","Kentucky","UMass","Kentucky",1996,1,1
"62","Mississippi State","Syracuse","Syracuse",1996,5,4
"63","Kentucky","Syracuse","Syracuse",1996,1,4
"64","UNC","Fairfield","UNC",1997,1,16
"65","Indiana","Colorado","Colorado",1997,8,9
"66","California","Princeton","California",1997,5,12
"67","Villanova","LIU","Villanova",1997,4,13
"68","Louisville","UMass","Louisville",1997,6,11
"69","New Mexico","Old Dominion","New Mexico",1997,3,14
