School,season,seed
Abilene Christian,2022,NA
Air Force,2022,NA
Akron,2022,13
Alabama A&M,2022,NA
Alabama-Birmingham,2022,12
Alabama State,2022,NA
Alabama,2022,6
Albany (NY),2022,NA
Alcorn State,2022,NA
American,2022,NA
Appalachian State,2022,NA
Arizona State,2022,NA
Arizona,2022,1
Little Rock,2022,NA
Arkansas-Pine Bluff,2022,NA
Arkansas State,2022,NA
Arkansas,2022,4
Army,2022,NA
Auburn,2022,2
Austin Peay,2022,NA
Ball State,2022,NA
Baylor,2022,1
Bellarmine,2022,NA
Belmont,2022,NA
Bethune-Cookman,2022,NA
Binghamton,2022,NA
Boise State,2022,8
Boston College,2022,NA
Boston University,2022,NA
Bowling Green State,2022,NA
Bradley,2022,NA
Brigham Young,2022,NA
Brown,2022,NA
Bryant,2022,16
Bucknell,2022,NA
Buffalo,2022,NA
Butler,2022,NA
Cal Poly,2022,NA
Cal State Bakersfield,2022,NA
Cal State Fullerton,2022,15
Cal State Northridge,2022,NA
California Baptist,2022,NA
UC-Davis,2022,NA
UC-Irvine,2022,NA
UC-Riverside,2022,NA
UC-San Diego,2022,NA
UC-Santa Barbara,2022,NA
University of California,2022,NA
Campbell,2022,NA
Canisius,2022,NA
Central Arkansas,2022,NA
Central Connecticut State,2022,NA
Central Florida,2022,NA
Central Michigan,2022,NA
Charleston Southern,2022,NA
Charlotte,2022,NA
Chattanooga,2022,13
Chicago State,2022,NA
Cincinnati,2022,NA
Citadel,2022,NA
Clemson,2022,NA
Cleveland State,2022,NA
Coastal Carolina,2022,NA
Colgate,2022,14
College of Charleston,2022,NA
Colorado State,2022,6
Colorado,2022,NA
Columbia,2022,NA
Connecticut,2022,5
Coppin State,2022,NA
Cornell,2022,NA
Creighton,2022,9
Dartmouth,2022,NA
Davidson,2022,10
Dayton,2022,NA
Delaware State,2022,NA
Delaware,2022,15
Denver,2022,NA
DePaul,2022,NA
Detroit Mercy,2022,NA
Dixie State,2022,NA
Drake,2022,NA
Drexel,2022,NA
Duke,2022,2
Duquesne,2022,NA
East Carolina,2022,NA
East Tennessee State,2022,NA
Eastern Illinois,2022,NA
Eastern Kentucky,2022,NA
Eastern Michigan,2022,NA
Eastern Washington,2022,NA
Elon,2022,NA
Evansville,2022,NA
Fairfield,2022,NA
Fairleigh Dickinson,2022,NA
Florida A&M,2022,NA
Florida Atlantic,2022,NA
Florida Gulf Coast,2022,NA
Florida International,2022,NA
Florida State,2022,NA
Florida,2022,NA
Fordham,2022,NA
Fresno State,2022,NA
Furman,2022,NA
Gardner-Webb,2022,NA
George Mason,2022,NA
George Washington,2022,NA
Georgetown,2022,NA
Georgia Southern,2022,NA
Georgia State,2022,16
Georgia Tech,2022,NA
Georgia,2022,NA
Gonzaga,2022,1
Grambling,2022,NA
Grand Canyon,2022,NA
Green Bay,2022,NA
Hampton,2022,NA
Hartford,2022,NA
Harvard,2022,NA
Hawaii,2022,NA
High Point,2022,NA
Hofstra,2022,NA
Holy Cross,2022,NA
Houston Baptist,2022,NA
Houston,2022,5
Howard,2022,NA
Idaho State,2022,NA
Idaho,2022,NA
Illinois-Chicago,2022,NA
Illinois State,2022,NA
Illinois,2022,4
Incarnate Word,2022,NA
Indiana State,2022,NA
Indiana,2022,12
Iona,2022,NA
Iowa State,2022,11
Iowa,2022,5
Purdue-Fort Wayne,2022,NA
IUPUI,2022,NA
Jackson State,2022,NA
Jacksonville State,2022,15
Jacksonville,2022,NA
James Madison,2022,NA
Kansas State,2022,NA
Kansas,2022,1
Kennesaw State,2022,NA
Kent State,2022,NA
Kentucky,2022,2
La Salle,2022,NA
Lafayette,2022,NA
Lamar,2022,NA
Lehigh,2022,NA
Liberty,2022,NA
Lipscomb,2022,NA
Cal State Long Beach,2022,NA
Long Island University,2022,NA
Longwood,2022,14
Louisiana,2022,NA
Louisiana-Monroe,2022,NA
Louisiana State,2022,6
Louisiana Tech,2022,NA
Louisville,2022,NA
Loyola (IL),2022,10
Loyola Marymount,2022,NA
Loyola (MD),2022,NA
Maine,2022,NA
Manhattan,2022,NA
Marist,2022,NA
Marquette,2022,9
Marshall,2022,NA
Maryland-Baltimore County,2022,NA
Maryland-Eastern Shore,2022,NA
Maryland,2022,NA
Massachusetts-Lowell,2022,NA
Massachusetts,2022,NA
McNeese State,2022,NA
Memphis,2022,9
Mercer,2022,NA
Merrimack,2022,NA
Miami (FL),2022,10
Miami (OH),2022,NA
Michigan State,2022,7
Michigan,2022,11
Middle Tennessee,2022,NA
Milwaukee,2022,NA
Minnesota,2022,NA
Mississippi State,2022,NA
Mississippi Valley State,2022,NA
Mississippi,2022,NA
Missouri-Kansas City,2022,NA
Missouri State,2022,NA
Missouri,2022,NA
Monmouth,2022,NA
Montana State,2022,14
Montana,2022,NA
Morehead State,2022,NA
Morgan State,2022,NA
Mount St. Mary's,2022,NA
Murray State,2022,7
Navy,2022,NA
Omaha,2022,NA
Nebraska,2022,NA
Nevada-Las Vegas,2022,NA
Nevada,2022,NA
New Hampshire,2022,NA
New Mexico State,2022,12
New Mexico,2022,NA
New Orleans,2022,NA
Niagara,2022,NA
Nicholls State,2022,NA
NJIT,2022,NA
Norfolk State,2022,16
North Alabama,2022,NA
North Carolina-Asheville,2022,NA
North Carolina A&T,2022,NA
North Carolina Central,2022,NA
North Carolina-Greensboro,2022,NA
North Carolina State,2022,NA
North Carolina-Wilmington,2022,NA
North Carolina,2022,8
North Dakota State,2022,NA
North Dakota,2022,NA
North Florida,2022,NA
North Texas,2022,NA
Northeastern,2022,NA
Northern Arizona,2022,NA
Northern Colorado,2022,NA
Northern Illinois,2022,NA
Northern Iowa,2022,NA
Northern Kentucky,2022,NA
Northwestern State,2022,NA
Northwestern,2022,NA
Notre Dame,2022,11
Oakland,2022,NA
Ohio State,2022,7
Ohio,2022,NA
Oklahoma State,2022,NA
Oklahoma,2022,NA
Old Dominion,2022,NA
Oral Roberts,2022,NA
Oregon State,2022,NA
Oregon,2022,NA
Pacific,2022,NA
Penn State,2022,NA
Pennsylvania,2022,NA
Pepperdine,2022,NA
Pittsburgh,2022,NA
Portland State,2022,NA
Portland,2022,NA
Prairie View,2022,NA
Presbyterian,2022,NA
Princeton,2022,NA
Providence,2022,4
Purdue,2022,3
Quinnipiac,2022,NA
Radford,2022,NA
Rhode Island,2022,NA
Rice,2022,NA
Richmond,2022,12
Rider,2022,NA
Robert Morris,2022,NA
Rutgers,2022,11
Sacramento State,2022,NA
Sacred Heart,2022,NA
Saint Francis (PA),2022,NA
Saint Joseph's,2022,NA
Saint Louis,2022,NA
Saint Mary's (CA),2022,5
Saint Peter's,2022,15
Sam Houston State,2022,NA
Samford,2022,NA
San Diego State,2022,8
San Diego,2022,NA
San Francisco,2022,10
San Jose State,2022,NA
Santa Clara,2022,NA
Seattle,2022,NA
Seton Hall,2022,8
Siena,2022,NA
South Alabama,2022,NA
South Carolina State,2022,NA
South Carolina Upstate,2022,NA
South Carolina,2022,NA
South Dakota State,2022,13
South Dakota,2022,NA
South Florida,2022,NA
Southeast Missouri State,2022,NA
Southeastern Louisiana,2022,NA
Southern California,2022,7
SIU Edwardsville,2022,NA
Southern Illinois,2022,NA
Southern Methodist,2022,NA
Southern Mississippi,2022,NA
Southern Utah,2022,NA
Southern,2022,NA
St. Bonaventure,2022,NA
St. Francis (NY),2022,NA
St. John's (NY),2022,NA
St. Thomas (MN),2022,NA
Stanford,2022,NA
Stephen F. Austin,2022,NA
Stetson,2022,NA
Stony Brook,2022,NA
Syracuse,2022,NA
Tarleton State,2022,NA
Temple,2022,NA
Tennessee-Martin,2022,NA
Tennessee State,2022,NA
Tennessee Tech,2022,NA
Tennessee,2022,3
Texas A&M-Corpus Christi,2022,16
Texas A&M,2022,NA
Texas-Arlington,2022,NA
Texas Christian,2022,9
Texas-El Paso,2022,NA
Texas-Rio Grande Valley,2022,NA
Texas-San Antonio,2022,NA
Texas Southern,2022,16
Texas State,2022,NA
Texas Tech,2022,3
Texas,2022,6
Toledo,2022,NA
Towson,2022,NA
Troy,2022,NA
Tulane,2022,NA
Tulsa,2022,NA
UCLA,2022,4
Utah State,2022,NA
Utah Valley,2022,NA
Utah,2022,NA
Valparaiso,2022,NA
Vanderbilt,2022,NA
Vermont,2022,13
Villanova,2022,2
Virginia Commonwealth,2022,NA
VMI,2022,NA
Virginia Tech,2022,11
Virginia,2022,NA
Wagner,2022,NA
Wake Forest,2022,NA
Washington State,2022,NA
Washington,2022,NA
Weber State,2022,NA
West Virginia,2022,NA
Western Carolina,2022,NA
Western Illinois,2022,NA
Western Kentucky,2022,NA
Western Michigan,2022,NA
Wichita State,2022,NA
William & Mary,2022,NA
Winthrop,2022,NA
Wisconsin,2022,3
Wofford,2022,NA
Wright State,2022,16
Wyoming,2022,12
Xavier,2022,NA
Yale,2022,14
Youngstown State,2022,NA
