"","team1","team2","winner","season","team1_seed","team2_seed"
"1","Michigan","Texas Southern","Michigan",2021,1,16
"2","LSU","St. Bonaventure","LSU",2021,8,9
"3","Colorado","Georgetown","Colorado",2021,5,12
"4","Florida State","UNC Greensboro","Florida State",2021,4,13
"5","BYU","UCLA","UCLA",2021,6,11
"6","Texas","Abilene Christian","Abilene Christian",2021,3,14
"7","UConn","Maryland","Maryland",2021,7,10
"8","Alabama","Iona","Alabama",2021,2,15
"9","Michigan","LSU","Michigan",2021,1,8
"10","Colorado","Florida State","Florida State",2021,5,4
"11","UCLA","Abilene Christian","UCLA",2021,11,14
"12","Maryland","Alabama","Alabama",2021,10,2
"13","Michigan","Florida State","Michigan",2021,1,4
"14","UCLA","Alabama","UCLA",2021,11,2
"15","Michigan","UCLA","UCLA",2021,1,11
"16","Gonzaga","Norfolk State","Gonzaga",2021,1,16
"17","Oklahoma","Missouri","Oklahoma",2021,8,9
"18","Creighton","UCSB","Creighton",2021,5,12
"19","Virginia","Ohio","Ohio",2021,4,13
"20","USC","Drake","USC",2021,6,11
"21","Kansas","Eastern Washington","Kansas",2021,3,14
"22","Oregon","VCU","Oregon",2021,7,10
"23","Iowa","Grand Canyon","Iowa",2021,2,15
"24","Gonzaga","Oklahoma","Gonzaga",2021,1,8
"25","Creighton","Ohio","Creighton",2021,5,13
"26","USC","Kansas","USC",2021,6,3
"27","Oregon","Iowa","Oregon",2021,7,2
"28","Gonzaga","Creighton","Gonzaga",2021,1,5
"29","USC","Oregon","USC",2021,6,7
"30","Gonzaga","USC","Gonzaga",2021,1,6
"31","Illinois","Drexel","Illinois",2021,1,16
"32","Loyola (IL)","Georgia Tech","Loyola (IL)",2021,8,9
"33","Tennessee","Oregon State","Oregon State",2021,5,12
"34","Oklahoma State","Liberty","Oklahoma State",2021,4,13
"35","San Diego State","Syracuse","Syracuse",2021,6,11
"36","West Virginia","Morehead State","West Virginia",2021,3,14
"37","Clemson","Rutgers","Rutgers",2021,7,10
"38","Houston","Cleveland State","Houston",2021,2,15
"39","Illinois","Loyola (IL)","Loyola (IL)",2021,1,8
"40","Oregon State","Oklahoma State","Oregon State",2021,12,4
"41","Syracuse","West Virginia","Syracuse",2021,11,3
"42","Rutgers","Houston","Houston",2021,10,2
"43","Loyola (IL)","Oregon State","Oregon State",2021,8,12
"44","Syracuse","Houston","Houston",2021,11,2
"45","Oregon State","Houston","Houston",2021,12,2
"46","Baylor","Hartford","Baylor",2021,1,16
"47","UNC","Wisconsin","Wisconsin",2021,8,9
"48","Villanova","Winthrop","Villanova",2021,5,12
"49","Purdue","North Texas","North Texas",2021,4,13
"50","Texas Tech","Utah State","Texas Tech",2021,6,11
"51","Arkansas","Colgate","Arkansas",2021,3,14
"52","Florida","Virginia Tech","Florida",2021,7,10
"53","Ohio State","Oral Roberts","Oral Roberts",2021,2,15
"54","Baylor","Wisconsin","Baylor",2021,1,9
"55","Villanova","North Texas","Villanova",2021,5,13
"56","Texas Tech","Arkansas","Arkansas",2021,6,3
"57","Florida","Oral Roberts","Oral Roberts",2021,7,15
"58","Baylor","Villanova","Baylor",2021,1,5
"59","Arkansas","Oral Roberts","Arkansas",2021,3,15
"60","Baylor","Arkansas","Baylor",2021,1,3
"61","Baylor","Houston","Baylor",2021,1,2
"62","Gonzaga","UCLA","Gonzaga",2021,1,11
"63","Baylor","Gonzaga","Baylor",2021,1,1
