school,year,seed
Abilene Christian,2024,NA
Air Force,2024,NA
Akron,2024,14
Alabama,2024,4
Alabama A&M,2024,NA
Alabama State,2024,NA
Albany (NY),2024,NA
Alcorn State,2024,NA
American,2024,NA
Appalachian State,2024,NA
Arizona,2024,2
Arizona State,2024,NA
Arkansas,2024,NA
Arkansas State,2024,NA
Arkansas-Pine Bluff,2024,NA
Army,2024,NA
Auburn,2024,4
Austin Peay,2024,NA
Ball State,2024,NA
Baylor,2024,3
Bellarmine,2024,NA
Belmont,2024,NA
Bethune-Cookman,2024,NA
Binghamton,2024,NA
Boise State,2024,10
Boston College,2024,NA
Boston University,2024,NA
Bowling Green State,2024,NA
Bradley,2024,NA
Brigham Young,2024,6
Brown,2024,NA
Bryant,2024,NA
Bucknell,2024,NA
Buffalo,2024,NA
Butler,2024,NA
Cal Poly,2024,NA
Cal State Bakersfield,2024,NA
Cal State Fullerton,2024,NA
Cal State Northridge,2024,NA
California,2024,NA
California Baptist,2024,NA
Campbell,2024,NA
Canisius,2024,NA
Central Arkansas,2024,NA
Central Connecticut State,2024,NA
Central Florida,2024,NA
Central Michigan,2024,NA
Charleston Southern,2024,NA
Charlotte,2024,NA
Chattanooga,2024,NA
Chicago State,2024,NA
Cincinnati,2024,NA
Clemson,2024,6
Cleveland State,2024,NA
Coastal Carolina,2024,NA
Colgate,2024,14
College of Charleston,2024,13
Colorado,2024,10
Colorado State,2024,10
Columbia,2024,NA
Connecticut,2024,1
Coppin State,2024,NA
Cornell,2024,NA
Creighton,2024,3
Dartmouth,2024,NA
Davidson,2024,NA
Dayton,2024,7
Delaware,2024,NA
Delaware State,2024,NA
Denver,2024,NA
DePaul,2024,NA
Detroit Mercy,2024,NA
Drake,2024,10
Drexel,2024,NA
Duke,2024,4
Duquesne,2024,11
East Carolina,2024,NA
East Tennessee State,2024,NA
Eastern Illinois,2024,NA
Eastern Kentucky,2024,NA
Eastern Michigan,2024,NA
Eastern Washington,2024,NA
Elon,2024,NA
Evansville,2024,NA
Fairfield,2024,NA
Fairleigh Dickinson,2024,NA
Florida,2024,7
Florida A&M,2024,NA
Florida Atlantic,2024,8
Florida Gulf Coast,2024,NA
Florida International,2024,NA
Florida State,2024,NA
Fordham,2024,NA
Fresno State,2024,NA
Furman,2024,NA
Gardner-Webb,2024,NA
George Mason,2024,NA
George Washington,2024,NA
Georgetown,2024,NA
Georgia,2024,NA
Georgia Southern,2024,NA
Georgia State,2024,NA
Georgia Tech,2024,NA
Gonzaga,2024,5
Grambling,2024,16
Grand Canyon,2024,12
Green Bay,2024,NA
Hampton,2024,NA
Hartford,2024,NA
Harvard,2024,NA
Hawaii,2024,NA
High Point,2024,NA
Hofstra,2024,NA
Holy Cross,2024,NA
Houston,2024,1
Houston Christian,2024,NA
Howard,2024,16
Idaho,2024,NA
Idaho State,2024,NA
Illinois,2024,3
Illinois State,2024,NA
Illinois-Chicago,2024,NA
Incarnate Word,2024,NA
Indiana,2024,NA
Indiana State,2024,NA
Iona,2024,NA
Iowa,2024,2
Iowa State,2024,NA
IUPUI,2024,NA
Jackson State,2024,NA
Jacksonville,2024,NA
Jacksonville State,2024,NA
James Madison,2024,12
Kansas,2024,4
Kansas City,2024,NA
Kansas State,2024,NA
Kennesaw State,2024,NA
Kent State,2024,NA
Kentucky,2024,3
La Salle,2024,NA
Lafayette,2024,NA
Lamar,2024,NA
Lehigh,2024,NA
Liberty,2024,NA
Lindenwood,2024,NA
Lipscomb,2024,NA
Little Rock,2024,NA
Long Beach State,2024,15
Long Island University,2024,NA
Longwood,2024,16
Louisiana,2024,NA
Louisiana State,2024,NA
Louisiana Tech,2024,NA
Louisiana-Monroe,2024,NA
Louisville,2024,NA
Loyola (IL),2024,NA
Loyola (MD),2024,NA
Loyola Marymount,2024,NA
Maine,2024,NA
Manhattan,2024,NA
Marist,2024,NA
Marquette,2024,2
Marshall,2024,NA
Maryland,2024,NA
Maryland-Baltimore County,2024,NA
Maryland-Eastern Shore,2024,NA
Massachusetts,2024,NA
Massachusetts-Lowell,2024,NA
McNeese State,2024,12
Memphis,2024,NA
Mercer,2024,NA
Merrimack,2024,NA
Miami (FL),2024,NA
Miami (OH),2024,NA
Michigan,2024,NA
Michigan State,2024,9
Middle Tennessee,2024,NA
Milwaukee,2024,NA
Minnesota,2024,NA
Mississippi,2024,NA
Mississippi State,2024,8
Mississippi Valley State,2024,NA
Missouri,2024,NA
Missouri State,2024,NA
Monmouth,2024,NA
Montana,2024,NA
Montana State,2024,16
Morehead State,2024,14
Morgan State,2024,NA
Mount St. Mary's,2024,NA
Murray State,2024,NA
Navy,2024,NA
NC State,2024,11
Nebraska,2024,8
Nevada,2024,10
Nevada-Las Vegas,2024,NA
New Hampshire,2024,NA
New Mexico,2024,11
New Mexico State,2024,NA
New Orleans,2024,NA
Niagara,2024,NA
Nicholls State,2024,NA
NJIT,2024,NA
Norfolk State,2024,NA
North Alabama,2024,NA
North Carolina,2024,1
North Carolina A&T,2024,NA
North Carolina Central,2024,NA
North Dakota,2024,NA
North Dakota State,2024,NA
North Florida,2024,NA
North Texas,2024,NA
Northeastern,2024,NA
Northern Arizona,2024,NA
Northern Colorado,2024,NA
Northern Illinois,2024,NA
Northern Iowa,2024,NA
Northern Kentucky,2024,NA
Northwestern,2024,9
Northwestern State,2024,NA
Notre Dame,2024,NA
Oakland,2024,14
Ohio,2024,NA
Ohio State,2024,NA
Oklahoma,2024,NA
Oklahoma State,2024,NA
Old Dominion,2024,NA
Omaha,2024,NA
Oral Roberts,2024,NA
Oregon,2024,11
Oregon State,2024,NA
Pacific,2024,NA
Penn State,2024,NA
Pennsylvania,2024,NA
Pepperdine,2024,NA
Pittsburgh,2024,NA
Portland,2024,NA
Portland State,2024,NA
Prairie View,2024,NA
Presbyterian,2024,NA
Princeton,2024,NA
Providence,2024,NA
Purdue,2024,1
Purdue-Fort Wayne,2024,NA
Queens (NC),2024,NA
Quinnipiac,2024,NA
Radford,2024,NA
Rhode Island,2024,NA
Rice,2024,NA
Richmond,2024,NA
Rider,2024,NA
Robert Morris,2024,NA
Rutgers,2024,NA
Sacramento State,2024,NA
Sacred Heart,2024,NA
Saint Francis (PA),2024,NA
Saint Joseph's,2024,NA
Saint Louis,2024,NA
Saint Mary's (CA),2024,5
Saint Peter's,2024,15
Sam Houston State,2024,NA
Samford,2024,13
San Diego,2024,NA
San Diego State,2024,5
San Francisco,2024,NA
San Jose State,2024,NA
Santa Clara,2024,NA
Seattle,2024,NA
Seton Hall,2024,NA
Siena,2024,NA
South Alabama,2024,NA
South Carolina,2024,13
South Carolina State,2024,NA
South Carolina Upstate,2024,NA
South Dakota,2024,NA
South Dakota State,2024,15
South Florida,2024,NA
Southeast Missouri State,2024,NA
Southeastern Louisiana,2024,NA
Southern,2024,NA
Southern California,2024,NA
Southern Illinois,2024,NA
SIU Edwardsville,2024,NA
Southern Indiana,2024,NA
Southern Methodist,2024,NA
Southern Mississippi,2024,NA
Southern Utah,2024,NA
St. Bonaventure,2024,NA
St. Francis (NY),2024,NA
St. John's (NY),2024,NA
St. Thomas,2024,NA
Stanford,2024,NA
Stephen F. Austin,2024,NA
Stetson,2024,16
Stonehill,2024,NA
Stony Brook,2024,NA
Syracuse,2024,NA
Tarleton State,2024,NA
TCU,2024,9
Temple,2024,NA
Tennessee,2024,2
Tennessee State,2024,NA
Tennessee Tech,2024,NA
Tennessee-Martin,2024,NA
Texas,2024,7
Texas A&M,2024,9
Texas A&M-Commerce,2024,NA
Texas A&M-Corpus Christi,2024,NA
Texas Southern,2024,NA
Texas State,2024,NA
Texas Tech,2024,6
Texas-Rio Grande Valley,2024,NA
The Citadel,2024,NA
Toledo,2024,NA
Towson,2024,NA
Troy,2024,NA
Tulane,2024,NA
Tulsa,2024,NA
UAB,2024,12
UC Davis,2024,NA
UC Irvine,2024,NA
UC Riverside,2024,NA
UC San Diego,2024,NA
UC Santa Barbara,2024,NA
UCLA,2024,NA
UNC Asheville,2024,NA
UNC Greensboro,2024,NA
UNC Wilmington,2024,NA
UT Arlington,2024,NA
Utah,2024,NA
Utah State,2024,8
Utah Tech,2024,NA
Utah Valley,2024,NA
UTEP,2024,NA
UTSA,2024,NA
Valparaiso,2024,NA
Vanderbilt,2024,NA
Vermont,2024,13
Villanova,2024,NA
