team1,team2,winner,season,team1_seed,team2_seed
Massachusetts,Central Florida,Massachusetts,1996,1,16
Bradley,Stanford,Stanford,1996,8,9
Penn State,Arkansas,Arkansas,1996,5,12
Marquette,Monmouth,Marquette,1996,4,13
North Carolina,New Orleans,North Carolina,1996,6,11
Texas Tech,Northern Illinois,Texas Tech,1996,3,14
New Mexico,Kansas State,New Mexico,1996,7,10
Georgetown,Mississippi Valley State,Georgetown,1996,2,15
Massachusetts,Stanford,Massachusetts,1996,1,9
Arkansas,Marquette,Arkansas,1996,12,4
North Carolina,Texas Tech,Texas Tech,1996,6,3
New Mexico,Georgetown,Georgetown,1996,7,2
Massachusetts,Arkansas,Massachusetts,1996,1,12
Texas Tech,Georgetown,Georgetown,1996,3,2
Massachusetts,Georgetown,Massachusetts,1996,1,2
Kentucky,San Jose State,Kentucky,1996,1,16
Green Bay,Virginia Tech,Virginia Tech,1996,8,9
Iowa State,University of California,Iowa State,1996,5,12
Utah,Canisius,Utah,1996,4,13
Louisville,Tulsa,Louisville,1996,6,11
Villanova,Portland,Villanova,1996,3,14
Michigan,Texas,Texas,1996,7,10
Wake Forest,Louisiana-Monroe,Wake Forest,1996,2,15
Kentucky,Virginia Tech,Kentucky,1996,1,9
Iowa State,Utah,Utah,1996,5,4
Louisville,Villanova,Louisville,1996,6,3
Texas,Wake Forest,Wake Forest,1996,10,2
Kentucky,Utah,Kentucky,1996,1,4
Louisville,Wake Forest,Wake Forest,1996,6,2
Kentucky,Wake Forest,Kentucky,1996,1,2
Connecticut,Colgate,Connecticut,1996,1,16
Duke,Eastern Michigan,Eastern Michigan,1996,8,9
Mississippi State,Virginia Commonwealth,Mississippi State,1996,5,12
UCLA,Princeton,Princeton,1996,4,13
Indiana,Boston College,Boston College,1996,6,11
Georgia Tech,Austin Peay,Georgia Tech,1996,3,14
Temple,Oklahoma,Temple,1996,7,10
Cincinnati,North Carolina-Greensboro,Cincinnati,1996,2,15
Connecticut,Eastern Michigan,Connecticut,1996,1,9
Mississippi State,Princeton,Mississippi State,1996,5,13
Boston College,Georgia Tech,Georgia Tech,1996,11,3
Temple,Cincinnati,Cincinnati,1996,7,2
Connecticut,Mississippi State,Mississippi State,1996,1,5
Georgia Tech,Cincinnati,Cincinnati,1996,3,2
Mississippi State,Cincinnati,Mississippi State,1996,5,2
Purdue,Western Carolina,Purdue,1996,1,16
Georgia,Clemson,Georgia,1996,8,9
Memphis,Drexel,Drexel,1996,5,12
Syracuse,Montana State,Syracuse,1996,4,13
Iowa,George Washington,Iowa,1996,6,11
Arizona,Valparaiso,Arizona,1996,3,14
Maryland,Santa Clara,Santa Clara,1996,7,10
Kansas,South Carolina State,Kansas,1996,2,15
Purdue,Georgia,Georgia,1996,1,8
Drexel,Syracuse,Syracuse,1996,12,4
Iowa,Arizona,Arizona,1996,6,3
Santa Clara,Kansas,Kansas,1996,10,2
Georgia,Syracuse,Syracuse,1996,8,4
Arizona,Kansas,Kansas,1996,3,2
Syracuse,Kansas,Syracuse,1996,4,2
Kentucky,Massachusetts,Kentucky,1996,1,1
Mississippi State,Syracuse,Syracuse,1996,5,4
Kentucky,Syracuse,Kentucky,1996,1,4
North Carolina,Fairfield,North Carolina,1997,1,16
Indiana,Colorado,Colorado,1997,8,9
University of California,Princeton,University of California,1997,5,12
Villanova,Long Island University,Villanova,1997,4,13
Louisville,Massachusetts,Louisville,1997,6,11
New Mexico,Old Dominion,New Mexico,1997,3,14
Wisconsin,Texas,Texas,1997,7,10
South Carolina,Coppin State,Coppin State,1997,2,15
North Carolina,Colorado,North Carolina,1997,1,9
University of California,Villanova,University of California,1997,5,4
Louisville,New Mexico,Louisville,1997,6,3
Texas,Coppin State,Texas,1997,10,15
North Carolina,University of California,North Carolina,1997,1,5
Louisville,Texas,Louisville,1997,6,10
North Carolina,Louisville,North Carolina,1997,1,6
Minnesota,Texas State,Minnesota,1997,1,16
Mississippi,Temple,Temple,1997,8,9
Tulsa,Boston University,Tulsa,1997,5,12
Clemson,Miami (OH),Clemson,1997,4,13
Iowa State,Illinois State,Iowa State,1997,6,11
Cincinnati,Butler,Cincinnati,1997,3,14
Xavier,Vanderbilt,Xavier,1997,7,10
UCLA,Charleston Southern,UCLA,1997,2,15
Minnesota,Temple,Minnesota,1997,1,9
Tulsa,Clemson,Clemson,1997,5,4
Iowa State,Cincinnati,Iowa State,1997,6,3
Xavier,UCLA,UCLA,1997,7,2
Minnesota,Clemson,Minnesota,1997,1,4
Iowa State,UCLA,UCLA,1997,6,2
Minnesota,UCLA,Minnesota,1997,1,2
Kansas,Jackson State,Kansas,1997,1,16
Purdue,Rhode Island,Purdue,1997,8,9
Maryland,College of Charleston,College of Charleston,1997,5,12
Arizona,South Alabama,Arizona,1997,4,13
Illinois,Southern California,Illinois,1997,6,11
Georgia,Chattanooga,Chattanooga,1997,3,14
Marquette,Providence,Providence,1997,7,10
Duke,Murray State,Duke,1997,2,15
Kansas,Purdue,Kansas,1997,1,8
College of Charleston,Arizona,Arizona,1997,12,4
Illinois,Chattanooga,Chattanooga,1997,6,14
Providence,Duke,Providence,1997,10,2
Kansas,Arizona,Arizona,1997,1,4
Chattanooga,Providence,Providence,1997,14,10
Arizona,Providence,Arizona,1997,4,10
Kentucky,Montana,Kentucky,1997,1,16
Iowa,Virginia,Iowa,1997,8,9
Boston College,Valparaiso,Boston College,1997,5,12
Saint Joseph's,Pacific,Saint Joseph's,1997,4,13
Stanford,Oklahoma,Stanford,1997,6,11
Wake Forest,Saint Mary's (CA),Wake Forest,1997,3,14
Charlotte,Georgetown,Charlotte,1997,7,10
Utah,Navy,Utah,1997,2,15
Kentucky,Iowa,Kentucky,1997,1,8
Boston College,Saint Joseph's,Saint Joseph's,1997,5,4
Stanford,Wake Forest,Stanford,1997,6,3
Charlotte,Utah,Utah,1997,7,2
Kentucky,Saint Joseph's,Kentucky,1997,1,4
Stanford,Utah,Utah,1997,6,2
Kentucky,Utah,Kentucky,1997,1,2
Arizona,North Carolina,Arizona,1997,4,1
Minnesota,Kentucky,Kentucky,1997,1,1
Arizona,Kentucky,Arizona,1997,4,1
North Carolina,Navy,North Carolina,1998,1,16
Charlotte,Illinois-Chicago,Charlotte,1998,8,9
Princeton,Nevada-Las Vegas,Princeton,1998,5,12
Michigan State,Eastern Michigan,Michigan State,1998,4,13
Xavier,Washington,Washington,1998,6,11
South Carolina,Richmond,Richmond,1998,3,14
Indiana,Oklahoma,Indiana,1998,7,10
Connecticut,Fairleigh Dickinson,Connecticut,1998,2,15
North Carolina,Charlotte,North Carolina,1998,1,8
Princeton,Michigan State,Michigan State,1998,5,4
Washington,Richmond,Washington,1998,11,14
Indiana,Connecticut,Connecticut,1998,7,2
North Carolina,Michigan State,North Carolina,1998,1,4
Washington,Connecticut,Connecticut,1998,11,2
North Carolina,Connecticut,North Carolina,1998,1,2
Kansas,Prairie View,Kansas,1998,1,16
Rhode Island,Murray State,Rhode Island,1998,8,9
Texas Christian,Florida State,Florida State,1998,5,12
Mississippi,Valparaiso,Valparaiso,1998,4,13
Clemson,Western Michigan,Western Michigan,1998,6,11
Stanford,College of Charleston,Stanford,1998,3,14
St. John's (NY),Detroit Mercy,Detroit Mercy,1998,7,10
Purdue,Delaware,Purdue,1998,2,15
Kansas,Rhode Island,Rhode Island,1998,1,8
Florida State,Valparaiso,Valparaiso,1998,12,13
Western Michigan,Stanford,Stanford,1998,11,3
Detroit Mercy,Purdue,Purdue,1998,10,2
Rhode Island,Valparaiso,Rhode Island,1998,8,13
Stanford,Purdue,Stanford,1998,3,2
Rhode Island,Stanford,Stanford,1998,8,3
Duke,Radford,Duke,1998,1,16
Oklahoma State,George Washington,Oklahoma State,1998,8,9
Syracuse,Iona,Syracuse,1998,5,12
New Mexico,Butler,New Mexico,1998,4,13
UCLA,Miami (FL),UCLA,1998,6,11
Michigan,Davidson,Michigan,1998,3,14
Massachusetts,Saint Louis,Saint Louis,1998,7,10
Kentucky,South Carolina State,Kentucky,1998,2,15
Duke,Oklahoma State,Duke,1998,1,8
Syracuse,New Mexico,Syracuse,1998,5,4
UCLA,Michigan,UCLA,1998,6,3
Saint Louis,Kentucky,Kentucky,1998,10,2
Duke,Syracuse,Duke,1998,1,5
UCLA,Kentucky,Kentucky,1998,6,2
Duke,Kentucky,Kentucky,1998,1,2
Arizona,Nicholls State,Arizona,1998,1,16
Tennessee,Illinois State,Illinois State,1998,8,9
Illinois,South Alabama,Illinois,1998,5,12
Maryland,Utah State,Maryland,1998,4,13
Arkansas,Nebraska,Arkansas,1998,6,11
Utah,San Francisco,Utah,1998,3,14
Temple,West Virginia,West Virginia,1998,7,10
Cincinnati,Northern Arizona,Cincinnati,1998,2,15
Arizona,Illinois State,Arizona,1998,1,9
Illinois,Maryland,Maryland,1998,5,4
Arkansas,Utah,Utah,1998,6,3
West Virginia,Cincinnati,West Virginia,1998,10,2
Arizona,Maryland,Arizona,1998,1,4
Utah,West Virginia,Utah,1998,3,10
Arizona,Utah,Utah,1998,1,3
Kentucky,Stanford,Kentucky,1998,2,3
North Carolina,Utah,Utah,1998,1,3
